unix,date,symbol,open,high,low,close,Volume AERGO,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1679443200000,2023-03-22 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1679356800000,2023-03-21 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1679270400000,2023-03-20 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1679184000000,2023-03-19 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1679097600000,2023-03-18 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1679011200000,2023-03-17 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678924800000,2023-03-16 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678838400000,2023-03-15 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678752000000,2023-03-14 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678665600000,2023-03-13 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678579200000,2023-03-12 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678492800000,2023-03-11 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678406400000,2023-03-10 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678320000000,2023-03-09 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678233600000,2023-03-08 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678147200000,2023-03-07 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1678060800000,2023-03-06 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677974400000,2023-03-05 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677888000000,2023-03-04 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677801600000,2023-03-03 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677715200000,2023-03-02 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677628800000,2023-03-01 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677542400000,2023-02-28 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677456000000,2023-02-27 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677369600000,2023-02-26 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677283200000,2023-02-25 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677196800000,2023-02-24 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677110400000,2023-02-23 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1677024000000,2023-02-22 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676937600000,2023-02-21 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676851200000,2023-02-20 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676764800000,2023-02-19 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676678400000,2023-02-18 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676592000000,2023-02-17 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676505600000,2023-02-16 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676419200000,2023-02-15 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
1676332800000,2023-02-14 00:00:00,AERGO/USDT,0.0954,0.0954,0.0954,0.0954,0,0,0,0,0,0.0935
