unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1668556800000,2022-11-16 00:00:00,AGLD/USDT,0.245,0.2509,0.245,0.2509,84.65895701,342.5068,84.65895701,342.5068,4,0.24720019975420909
1668470400000,2022-11-15 00:00:00,AGLD/USDT,0.2421,0.245,0.2348,0.2348,996.30463827,4068.3272,992.17767039,4051.3228,9,0.244894593243219908
1668384000000,2022-11-14 00:00:00,AGLD/USDT,0.2223,0.2312,0.2223,0.2312,80.0320892,353.6884,4.0605108,17.9272,3,0.226360633955410975
1668297600000,2022-11-13 00:00:00,AGLD/USDT,0.2381,0.2381,0.2381,0.2381,0,0,0,0,0,0.221668312511406906
1668211200000,2022-11-12 00:00:00,AGLD/USDT,0.2381,0.2381,0.2381,0.2381,0,0,0,0,0,0.221668312511406906
1668124800000,2022-11-11 00:00:00,AGLD/USDT,0.2325,0.2381,0.0305,0.2381,515.51830736,2533.984,0,0,8,0.221668312511406906
1668038400000,2022-11-10 00:00:00,AGLD/USDT,0.2333,0.2333,0.2333,0.2333,2.42368371,10.3887,0,0,1,0.2333
1667952000000,2022-11-09 00:00:00,AGLD/USDT,0.354,0.354,0.354,0.354,0,0,0,0,0,0.354
1667865600000,2022-11-08 00:00:00,AGLD/USDT,0.354,0.354,0.354,0.354,0,0,0,0,0,0.354
1667779200000,2022-11-07 00:00:00,AGLD/USDT,0.354,0.354,0.354,0.354,0,0,0,0,0,0.354
1667692800000,2022-11-06 00:00:00,AGLD/USDT,0.354,0.354,0.354,0.354,20.2845186,57.3009,0,0,1,0.354
1667606400000,2022-11-05 00:00:00,AGLD/USDT,0.3877,0.3877,0.3877,0.3877,1.99998922,5.1586,1.99998922,5.1586,1,0.3877
1667520000000,2022-11-04 00:00:00,AGLD/USDT,0.3937,0.4,0.3547,0.3703,339.44253024,902.4064,266.11018164,698.9804,20,0.376555722237831025
1667433600000,2022-11-03 00:00:00,AGLD/USDT,0.344,0.374,0.3413,0.3413,67.9316421,186.3114,37.1834964,101.0196,4,0.364888449180444586
1667347200000,2022-11-02 00:00:00,AGLD/USDT,0.3321,0.3322,0.3321,0.3322,448.82535728,1351.4197,448.82535728,1351.4197,5,0.33211397034503576
1667260800000,2022-11-01 00:00:00,AGLD/USDT,0.3354,0.3354,0.3354,0.3354,0,0,0,0,0,0.334869949318793433
1667174400000,2022-10-31 00:00:00,AGLD/USDT,0.3346,0.3354,0.3346,0.3354,304.40128492,909.0146,185.67339354,554.1793,4,0.334869949318793433
1667088000000,2022-10-30 00:00:00,AGLD/USDT,0.3519,0.3519,0.34,0.34,593.39116705,1744.7967,0,0,5,0.340092795060699579
1667001600000,2022-10-29 00:00:00,AGLD/USDT,0.3586,0.3586,0.3322,0.3322,11.69185952,32.9348,11.69185952,32.9348,2,0.355231369697469645
1666915200000,2022-10-28 00:00:00,AGLD/USDT,0.3189,0.3189,0.3189,0.3189,0,0,0,0,0,0.3189
1666828800000,2022-10-27 00:00:00,AGLD/USDT,0.3189,0.3189,0.3189,0.3189,1.05501687,3.3083,0,0,1,0.3189
1666742400000,2022-10-26 00:00:00,AGLD/USDT,0.3091,0.3442,0.3091,0.33,58.42659847,172.1891,51.5080366,150.0302,4,0.339708476621041942
1666656000000,2022-10-25 00:00:00,AGLD/USDT,0.3451,0.3451,0.3451,0.3451,6.88778188,19.9588,6.88778188,19.9588,1,0.3451
1666569600000,2022-10-24 00:00:00,AGLD/USDT,0.316,0.316,0.316,0.316,1.0342996,3.2731,1.0342996,3.2731,1,0.316
1666483200000,2022-10-23 00:00:00,AGLD/USDT,0.2938,0.2938,0.2938,0.2938,0,0,0,0,0,0.301684215350515343
1666396800000,2022-10-22 00:00:00,AGLD/USDT,0.2938,0.2938,0.2938,0.2938,0,0,0,0,0,0.301684215350515343
1666310400000,2022-10-21 00:00:00,AGLD/USDT,0.2731,0.3351,0.2731,0.2938,7.11294439,23.7709,4.38194439,13.7709,3,0.301684215350515343
1666224000000,2022-10-20 00:00:00,AGLD/USDT,0.3114,0.3114,0.3114,0.3114,0,0,0,0,0,0.3114
1666137600000,2022-10-19 00:00:00,AGLD/USDT,0.3114,0.3114,0.3114,0.3114,1.37050254,4.4011,1.37050254,4.4011,1,0.3114
1666051200000,2022-10-18 00:00:00,AGLD/USDT,0.3218,0.3218,0.3126,0.3126,15.50082008,48.2518,14.5966871,45.3595,2,0.321263381719607702
1665964800000,2022-10-17 00:00:00,AGLD/USDT,0.3044,0.3044,0.3044,0.3044,0,0,0,0,0,0.3044
1665878400000,2022-10-16 00:00:00,AGLD/USDT,0.3044,0.3044,0.3044,0.3044,0,0,0,0,0,0.3044
1665792000000,2022-10-15 00:00:00,AGLD/USDT,0.3044,0.3044,0.3044,0.3044,0,0,0,0,0,0.3044
1665705600000,2022-10-14 00:00:00,AGLD/USDT,0.3044,0.3044,0.3044,0.3044,1.69925212,5.5823,0,0,1,0.3044
1665619200000,2022-10-13 00:00:00,AGLD/USDT,0.2659,0.2659,0.2659,0.2659,5.514766,20.74,0,0,1,0.2659
